target temperature;Temperature;PID output;proportional part; integral part;differential part;Calculated temperature;;;;;
200;208;65455;65456;19;65496;200;;;;;
200;208;65455;65456;19;65501;200;;;;;
200;209;65454;65446;18;65501;200;;;;;
200;210;65453;65446;17;65506;200;;;;;
200;210;65452;65436;16;65506;200;;;;;
200;211;65451;65426;15;65506;200;;;;;
200;211;65450;65426;14;65511;200;;;;;
200;212;65448;65416;12;65511;200;;;;;
200;213;65447;65406;11;65506;200;;;;;
200;213;65447;65406;11;65506;200;;;;;
200;213;65446;65406;10;65516;200;;;;;
200;214;65443;65396;7;65516;200;;;;;
200;215;65442;65396;6;65516;200;;;;;
200;216;65440;65386;4;65516;200;;;;;
200;216;65439;65376;3;65516;200;;;;;
200;216;65437;65376;1;65516;200;;;;;
200;217;65436;65376;0;65521;200;;;;;
200;217;65436;65366;0;65521;200;;;;;
200;218;65436;65366;0;65521;200;;;;;
200;218;65436;65356;0;65516;200;;;;;
200;218;65436;65356;0;65521;200;;;;;
200;219;65436;65356;0;65521;200;;;;;
200;219;65436;65346;0;65521;200;;;;;
200;219;65436;65346;0;65526;200;;;;;
200;219;65436;65346;0;65526;200;;;;;
200;220;65436;65336;0;65521;200;;;;;
200;221;65436;65336;0;65526;200;;;;;
200;221;65436;65326;0;65521;200;;;;;
200;221;65436;65326;0;65526;200;;;;;
200;221;65436;65326;0;65526;200;;;;;
200;221;65436;65326;0;65526;200;;;;;
200;222;65436;65316;0;65526;200;;;;;
200;222;65436;65316;0;65526;200;;;;;
200;222;65436;65316;0;65526;200;;;;;
200;222;65436;65316;0;65531;200;;;;;
200;222;65436;65316;0;65531;200;;;;;
200;222;65436;65316;0;0;200;;;;;
200;223;65436;65306;0;65531;200;;;;;
200;223;65436;65306;0;65531;200;;;;;
200;223;65436;65306;0;65531;200;;;;;
200;224;65436;65296;0;65531;200;;;;;
200;224;65436;65296;0;65531;200;;;;;
200;224;65436;65296;0;65531;200;;;;;
200;224;65436;65296;0;65531;200;;;;;
200;224;65436;65296;0;65531;200;;;;;
200;224;65436;65296;0;65531;200;;;;;
200;224;65436;65296;0;0;200;;;;;
200;224;65436;65296;0;0;200;;;;;
200;224;65436;65296;0;0;200;;;;;
200;225;65436;65296;0;0;200;;;;;
200;225;65436;65286;0;65531;200;;;;;
200;225;65436;65286;0;65531;200;;;;;
200;225;65436;65286;0;65531;200;;;;;
200;225;65436;65286;0;65531;200;;;;;
200;225;65436;65286;0;65531;200;;;;;
200;225;65436;65286;0;65531;200;;;;;
200;225;65436;65286;0;65531;200;;;;;
200;225;65436;65286;0;65531;200;;;;;
200;225;65436;65286;0;65531;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
